File_num,grdc_no,river,station,area,lat_org,long_org,lat_pp,long_pp,dist_km,ElevMean,ElevMax,ElevMin,SlopeMean,AridityIndex,met_An_precip,met_Daily_precip,met_An_meanT,met_An_maxT,met_An_minT,DailyMeanPET,AnnualMeanPET,met_Jan_precip,met_Feb_precip,met_Mar_precip,met_Apr_precip,met_May_precip,met_Jun_precip,met_Jul_precip,met_Aug_precip,met_Sep_precip,met_Oct_precip,met_Nov_precip,met_Dec_precip,met_Jan_meanT,met_Feb_meanT,met_Mar_meanT,met_Apr_meanT,met_May_meanT,met_Jun_meanT,met_Jul_meanT,met_Aug_meanT,met_Sep_meanT,met_Oct_meanT,met_Nov_meanT,met_Dec_meanT,met_Jan_snow,met_Feb_snow,met_Mar_snow,met_Dec_snow,met_An_snow,met_Jan_sun,met_Feb_sun,met_Mar_sun,met_Apr_sun,met_May_sun,met_Jun_sun,met_Jul_sun,met_Aug_sun,met_Sep_sun,met_Oct_sun,met_Nov_sun,met_Dec_sun,met_An_sun,met_Jan_solra,met_Feb_solra,met_Mar_solra,met_Apr_solra,met_May_solra,met_Jun_solra,met_Jul_solra,met_Aug_solra,met_Sep_solra,met_Oct_solra,met_Nov_solra,met_Dec_solra,met_An_solra,sol12_Helvic Acrisols_Ratio,sol12_Dystric Rhegosols_Ratio,sol12_Haplic Andosols_Ratio,sol12_Fluvic Gleysols_Ratio,sol12_Gleysols_Ratio,sol12_Humic Cambisols_Ratio,sol12_Lithosols_Ratio,sol12_Rhodic Acrisols_Ratio,sol12_Ochric Cambisols_Ratio,sol12_Humo-Ferric(Gleyic) Podzols_Ratio,sol12_Gleyic Andosols_Ratio,sol12_Humo-Ferric Podzols_Ratio,sol12_Vitric Andosols_Ratio,sol12_(Andic) Rhegosols_Ratio,sol12_(Entic) Andosols_Ratio,sol12_Histosols_Ratio,sol12_Fluvisols_Ratio,sol22_Rhegosols_Ratio,sol22_Acrisols and Luvisols_Ratio,sol22_Andosols_Ratio,sol22_Ochric Gleysols_Ratio,sol22_Lithosols_Ratio,sol22_Fluvisols_Ratio,sol22_Podozols_Ratio,sol22_Cambisols_Ratio,sol22_Fluvic gleysols_Ratio,sol22_Dystric Histosols_Ratio,geo1_P_Ratio,geo1_An_Ratio,geo1_M_Ratio,geo1_Gn_Ratio,geo1_Gr_Ratio,geo1_tr_Ratio,geo1_lm_Ratio,geo1_al_Ratio,geo1_Bs_Ratio,geo1_wf_Ratio,geo1_Sch_Ratio,geo1_Tn_Ratio,geo1_Gd_Ratio,geo1_Lp_Ratio,geo1_Tp_Ratio,geo1_Sp_Ratio,geo1_Pls_Ratio,geo1_ds_Ratio,geo3_Henseigan_ratio,geo3_Taisekigan_ratio,geo3_Kaseigan_ratio,landP_Lowland_Ratio,landP_Volcanic_Ratio,landP_Mountain_Ratio,landP_Plateau_Ratio,landP_Hills_Ratio,landP_Water_Ratio,landS_Volcanic_GentleSlope_Ratio,landS_Lowland_Ratio,landS_Volcanic_SteepSlope_Ratio,landS_AlluvialFanAndValleyPlains_Ratio,landS_GravelPlateauAndRockPlateau_Ratio,landS_DeltasAndTidalFlatsAndWetValleyPlains_Ratio,landS_LavaPlateau_Ratio,landS_VolcanicLaharTerrain_Ratio,landS_MountainSteepSlope_Ratio,landS_SteepAlluvialFan_Ratio,landS_HillsSteepAndGentle_Ratio,landS_Peatland_Ratio,landS_VolcanicAshSandPlateau_Ratio,landS_MountainGentleSlope_Ratio,landS_DuneBeachSandbars_Ratio,landS_Water_Ratio,landS_LimestonePlateau_Ratio,land_RiceField_Ratio,land_OtherFarmland_Ratio,land_Forest_Ratio,land_Wasteland_Ratio,land_Urban_Ratio,land_Road_Ratio,land_Railroad_Ratio,land_Other_Ratio,land_RiverLakes_Ratio,land_Beach_Ratio,land_Ocean_Ratio,land_GolfCourse_Ratio
1,2587080,TESHIO GAWA,MARUYAMA,4685,44.92,141.89,44.9229,141.8938,0.4,311.9342535,1386,11,7.204888461,0.460014058,1200.631325,3.28940089,43.55372371,93.41027099,-9.97877582,1.513170653,552.3072883,82.3470722,61.16221338,63.68279325,60.23778662,67.17364033,62.48474512,113.4320637,136.6339018,148.5096456,150.6391889,143.237256,111.0910176,-97.60621565,-95.43964374,-45.32025772,24.95167709,87.82944855,136.0735266,175.5861285,186.9861664,135.9620997,71.31646769,2.81997347,-61.02937275,120.4208831,138.2239909,139.4203146,90.76805003,142.3808982,54.73356074,88.7701914,129.6379951,163.1974038,187.7313815,172.394296,152.0869812,148.8051544,144.7872276,115.0993557,54.4650938,40.06083002,1451.769471,4.663236688,8.056092477,11.85154444,15.48658329,18.05700208,19.01135115,17.19891984,15.13465984,12.45921925,8.317851052,4.454917567,3.502956225,11.52035247,0,0,0,1.384055496,19.80177161,70.72367129,0.666531483,0,5.004226254,0.215304162,0.001750267,0.230160085,0,0.06941302,0,1.452209178,0,0.06941302,0,0.001750267,19.80177161,0.666531483,0,0.445442903,75.72789755,1.384055496,1.452209178,14.02478122,19.40313767,11.94977588,0,0.944589114,1.082753469,0,15.28919957,0,0,0,32.71511206,0,0.185613661,0,3.931910352,0,0,0,75.06164354,24.4652508,17.59995731,0,65.44537887,5.333767343,11.21191035,0.017545358,0,0,0,11.93016009,5.333767343,3.823607257,0,0,60.69237994,0,11.21191035,1.846189968,0,4.752998933,0,0.017545358,0,3.423547215,12.41840224,74.43178807,11.34571187,0.745987898,0.304930651,1.115530651,1.780282006,0.00019746,0,0.034327385,0
2,2587081,TESHIO GAWA,PONPIRA,4029,44.8,142.08,44.7979,142.0687,0.9,341.3640583,1386,20,7.543490901,0.451477289,1204.272159,3.299375778,42.63723776,92.7381993,-10.875,1.489593232,543.7015296,81.8708042,61.11020542,64.47296766,60.8388986,67.17176573,64.00939685,114.4301355,137.1355332,150.2734921,149.4003934,143.3974432,110.1611233,-99.28977273,-96.80594406,-46.62762238,23.95957168,87.68006993,136.3883304,175.7652972,186.5128934,134.9213287,69.90013112,1.407342657,-62.70192308,121.1453234,138.6619318,141.1343969,92.51267483,143.4556381,55.10067745,89.0482299,129.3889205,163.497618,187.686451,172.9059878,152.2134178,149.5026879,142.6183348,114.8282998,55.09270105,41.09995629,1452.983282,4.696612762,8.093618881,11.8736451,15.53979458,18.09798951,19.07167832,17.24241696,15.20782343,12.40649038,8.345891608,4.498754371,3.547923951,11.55598776,0,0,0,1.609406801,19.37086126,72.30265575,0.775055845,0,5.151327873,0.023752792,0,0.267634649,0,0.080714818,0,1.159568131,0,0.080714818,0,0,19.37086126,0.775055845,0,0.291387441,77.45398362,1.609406801,1.159568131,15.69334823,22.56234798,12.73636138,0,1.098386696,1.25904691,0,15.20377265,0,0,0,29.82074957,0,0.215835195,0,2.130106726,0,0,0,74.71330355,26.00665177,17.01151651,0,71.71451973,5.382824522,6.663241499,0.020402085,0,0,0,13.2904691,5.382824522,2.394862249,0,0,66.86051129,0,6.663241499,1.326160338,0,4.854008439,0,0.020402085,0,3.980740755,11.67041499,76.69600335,10.14759007,0.799602755,0.250485133,1.269928841,1.64148553,0.00022961,0,0.039916555,0
3,2587082,TESHIO GAWA,BIFUKA-BASHI,2899,44.48,142.34,44.4813,142.3354,0.4,363.4676352,1386,73,7.326874479,0.459000277,1157.184353,3.17036809,42.89406393,93.10989346,-10.68584475,1.455199832,531.1479386,72.9891933,56.77759513,61.00873668,59.16185693,66.99351598,66.18754947,116.1167732,134.2513242,149.4048402,140.7424353,133.6444749,99.90605784,-99.81126332,-96.61248097,-46.61400304,24.18660578,88.70167428,138.0006088,177.0928463,187.0322679,134.9829528,69.58325723,1.212785388,-63.52298326,107.5993912,122.9360731,124.3458143,85.37960426,127.0584475,59.08401826,92.9952207,132.8278234,164.1971689,187.8028919,172.6951598,153.9586301,152.9253881,143.2561948,116.9757686,57.81047184,44.79729072,1479.326027,4.814642314,8.248158295,12.03424658,15.60468798,18.13716895,19.08133942,17.35056317,15.38767123,12.47570776,8.453789954,4.600517504,3.651019787,11.65722983,0,0,0,1.470058641,21.17340462,70.33276992,0.689341152,0,4.872680235,0,0,0.174025526,0,0.112176613,0,1.604311832,0,0.112176613,0,0,21.17340462,0.689341152,0,0.174025526,75.20545016,1.470058641,1.604311832,20.89441187,24.95667472,0.03432218,0,1.526526388,0.728216626,0,19.50814074,0,0,0,31.0116247,0,0.299965505,0,1.439668851,0,0,0,72.17668161,28.22283546,19.43939289,0,66.60852018,6.000137979,8.423973784,0.028354605,0,0,0,15.64843049,6.000137979,1.947878579,0,0,61.15836495,0,8.423973784,1.843083822,0,5.450155226,0,0.028354605,0,5.441319662,13.55808517,74.73207575,8.071299483,1.010527975,0.264457227,1.62431228,1.656230045,0.00031911,0,0.055475612,0
4,2587083,TESHIO GAWA,NAYORO-OHASHI,1719.2,44.38,142.41,44.3688,142.4437,3,346.3095564,1386,90,6.787907353,0.453392764,1165.121659,3.192114134,46.26179831,96.2414307,-6.310481868,1.44728145,528.2577294,73.28673621,58.49781421,62.18186786,59.43750621,69.73000497,67.02548435,118.4941878,134.1686041,149.2913065,134.6798808,134.9537506,103.3745156,-97.16492797,-93.24639841,-43.95578738,26.98658718,92.82414307,143.8380527,182.414307,190.917536,138.0298063,72.02235469,3.183805266,-61.18082464,106.7734724,122.0655738,119.4714357,87.84898162,123.4456036,58.66691505,92.44610035,132.9191754,165.1416791,189.0800298,175.7720815,156.1464978,156.3261302,145.3620964,116.5606061,56.5880775,43.60869349,1488.618082,4.812369598,8.231495281,12.02608048,15.630154,18.1692002,19.19279682,17.42205663,15.51376056,12.56621957,8.44520616,4.575012419,3.634028813,11.68877298,0,0,0,2.478885528,25.35853886,67.20183806,0.348534202,0,4.750290833,0,0,0.161528618,0,0.189157748,0,2.246568171,0,0.189157748,0,0,25.35853886,0.348534202,0,0.161528618,71.95218706,2.478885528,2.246568171,21.20538623,15.88128199,0.057875756,0,2.55269893,0.138610982,0,25.94078641,0,0,0,33.97609353,0,0.505816659,0,2.427640763,0,0,0,81.31875291,21.36743834,25.00453699,0,60.06293625,5.414436947,12.32637273,0.047812936,0,0,0,18.63192182,5.414436947,3.284609121,0,0,55.68781992,0,12.32637273,3.088006049,0,4.375116333,0,0.047812936,0,8.728579048,15.98072417,71.41168235,8.806739414,1.36497336,0.309746859,1.943756398,2.074734819,0.000538099,0,0.052746917,0
5,2587100,ISHIKARI-GAWA,ISHIKARI-OHASHI,12697,43.1197,141.5456,43.1229,141.5437,0.4,393.3559326,2133,5,7.739837917,0.424272181,1275.095041,3.493411071,49.05101532,96.97028856,-0.347915924,1.482157136,540.9873545,91.12368365,71.88274314,69.75613823,70.35698611,83.85047382,67.40581404,118.4132597,166.1966512,149.5108871,137.1569647,139.578347,109.8630923,-88.9046669,-84.13637335,-39.01382259,30.34107588,92.15040969,141.4370502,179.874813,190.0380477,140.6886356,75.32283577,6.869184182,-56.58154613,96.79536872,115.484503,110.9378696,71.29504809,117.2302102,70.87648735,95.53205558,132.8553758,163.1416958,185.5966085,172.5911151,148.2797934,152.0469612,143.4091771,125.5837121,70.639829,57.41348771,1517.966299,5.221631635,8.439401496,12.09717848,15.62513003,18.08267189,19.01789811,17.0565016,15.43928037,12.62148201,8.899173495,5.090110438,4.05446384,11.80809405,0,0,5.798716232,4.587839647,16.65242971,56.44718437,0.943002284,0,3.142703001,0.145475309,0.006221942,3.150767898,0,4.94490037,0,3.854272663,0,4.94490037,0,5.804938174,16.65242971,0.943002284,0,3.296243207,59.58988737,4.587839647,3.854272663,9.69123415,13.39219501,10.35098842,0.074954714,0.087059935,2.13132236,4.441647633,19.54724738,0,10.40823817,3.556414901,19.62364338,0,0,3.333425219,3.526707096,0,0,3.631369615,79.52773884,17.00596204,17.90978184,19.01964244,41.77654564,13.68568166,7.709191148,0.818791841,3.207765614,4.987367095,15.81186895,9.679034418,5.825525715,5.600472553,0,0,33.80583602,0,7.709191148,2.61182169,2.872796724,7.970709616,0.018453178,0.818791841,0,12.1024404,9.810143372,67.39593488,7.146396479,2.369237804,0.329065173,2.199538316,2.865615303,7.36631E-05,0,0.525350595,0
6,2587101,ISHIKARI-GAWA,TSUKIGATA,9306,43.33,141.6933,43.3312,141.6937,0.1,454.0733378,2133,9,7.999611132,0.417864495,1276.979955,3.498575219,44.73831049,92.76922329,-5.526198114,1.461930366,533.6045836,89.62510936,71.1897249,69.7542821,69.36981627,80.76585982,67.38165646,117.8893361,162.4136677,148.8599689,141.0747837,145.9823564,112.6733936,-94.93156411,-90.70166229,-44.38884028,25.81005152,89.34995626,140.1659376,178.7567804,187.0630893,135.8710022,70.14056576,1.428890833,-62.21638962,99.82035579,118.4957714,116.6452805,76.38096627,120.7923593,64.87724312,91.6885681,128.4884028,160.9084573,185.5916691,173.9114222,152.4206377,154.2952853,140.642403,121.6462914,65.4517838,52.10079712,1492.022961,5.082784096,8.335928842,11.97515311,15.59312725,18.17001069,19.19784194,17.36084378,15.60342179,12.5378536,8.785865656,4.953261398,3.937464761,11.79881404,0,0,4.406780572,4.847313561,15.94362777,60.88637438,0.79665807,0,3.7827853,0.198484848,0.008489147,4.1470879,0,2.723565442,0,1.273855577,0,2.723565442,0,4.415258973,15.94362777,0.79665807,0,4.345562003,64.66915968,4.847313561,1.273855577,12.3245648,17.42140554,8.389737804,0.102267354,0.11878358,2.523500967,0,15.10460993,0,14.03090479,4.852331829,19.65892972,0,0,0.977337202,4.083397808,0,0,4.954599183,73.00958521,21.62359768,13.20842467,24.11711799,42.24113475,10.52604771,9.489694821,0.220771545,4.170814528,5.989662583,19.94630346,9.931377606,4.536395874,2.68549323,0,0,31.87137331,0,9.489694821,0.566376531,0,10.36976144,0.025177305,0.220771545,0,10.98048582,7.839905212,70.88430159,8.233445669,1.948057253,0.251684591,1.654989426,2.176632248,0.000100505,0,0.263523662,0
7,2587102,ISHIKARI-GAWA,HASHIMOTOCHO,5711,43.5544,141.8872,43.5562,141.8896,0.3,467.2317383,2133,24,7.696975189,0.413629032,1304.689761,3.574492496,42.42736311,90.26146313,-8.211158926,1.478513871,539.657563,93.04856804,74.91307316,71.61280605,68.78517584,80.97607954,68.22918831,120.4062621,159.2429886,150.2993471,146.9876094,150.6858288,119.5028342,-97.12049265,-92.85472622,-47.09838255,22.79997032,86.81050601,138.3548004,177.2442499,184.9599347,133.0511945,67.43552456,-1.166345155,-63.801751,109.689123,129.9896127,128.5481525,83.97581244,132.6170055,61.179908,89.88458228,127.4185487,161.9155809,185.537973,173.8276896,153.8208191,153.7353465,141.4654251,118.8814661,61.58464164,48.41437899,1477.66636,4.97722214,8.266196765,11.93708265,15.64588218,18.18321709,19.23114705,17.45797596,15.58351387,12.56456448,8.673927882,4.82765989,3.837305238,11.77002523,0,0,4.10779198,5.25128699,16.91780774,62.03591315,0.795342322,0,4.914655927,0.264612152,0,5.715636491,0,3.248537909,0,1.047172124,0,3.248537909,0,4.10779198,16.91780774,0.795342322,0,5.980248643,66.95056908,5.25128699,1.047172124,11.08063386,23.7424269,4.041201191,0,0.017334968,2.574873052,0,16.4733847,0,12.73712134,6.765785327,21.75813343,0,0,1.592558221,3.932761338,0,0,6.765785327,70.2579058,27.6925232,14.14001051,26.77489056,41.4989494,11.40488531,11.21399054,0.034512345,4.148975661,7.057275433,22.6259149,11.33680616,4.347609876,2.476676589,0,0,30.14475573,0,11.21399054,0.326527753,0,11.35419366,0,0.034512345,0,13.0516567,7.675207757,73.49278289,10.72180735,2.234705446,0.282670706,1.228969655,2.337270285,0,0,0.275385151,0
8,2587103,ISHIKARI-GAWA,OSAMUNAI,3558,43.7156,142.1367,43.7188,142.1354,0.4,597.8951177,2133,63,8.407607396,0.429848346,1199.818605,3.28717426,37.45140987,84.13997986,-12.63418933,1.412986418,515.7400427,69.57411883,59.39282477,62.54282477,68.32633434,83.31369587,73.14146526,123.9299094,160.7655086,142.8299094,132.5529204,128.5046073,94.9444864,-103.213998,-98.7479859,-53.11656596,18.80085599,83.22784491,135.2137462,173.9305136,180.0805639,127.3748741,62.23892246,-6.864551863,-70.03197382,81.02014099,97.86379658,95.92824773,67.7827291,99.47834844,65.4871853,94.16968781,126.100428,158.0698892,182.3909366,173.9539527,155.7285498,154.9483635,137.7564199,118.5507301,63.21500504,53.39942095,1483.770569,5.147759315,8.498816717,12.00901309,15.6326284,18.22673716,19.42223061,17.73197382,15.80536254,12.54257301,8.773716012,4.950125881,4.008408862,11.90025176,0,0,6.593479483,0.721894323,11.27599775,60.66528949,0.21183249,0,5.213659359,0.424732996,0,9.125829117,0,5.08400787,0,0.3757448,0,5.08400787,0,6.593479483,11.27599775,0.21183249,0,9.550562114,65.87894885,0.721894323,0.3757448,15.87875211,30.81753794,0.143535694,0,0.027824621,1.373046655,0,13.7866498,0,20.4445475,8.591259134,6.674198988,0,0,0,2.008684654,0,0,8.591259134,58.30073075,32.85407532,9.184682406,40.40556492,30.20781338,11.15944351,8.788195616,0,4.767116358,9.084513772,35.63844857,9.104693648,2.074929736,0.049297358,0,0,15.56627319,0,8.788195616,0.030719505,0,14.64154019,0,0,0,11.0101475,7.940928893,69.81411824,10.28613508,2.762475464,0.264526953,1.467444829,1.573943451,0,0,0.289174452,0
9,2587104,ISHIKARI-GAWA,INO,3378.6,43.77,142.27,43.7687,142.2771,0.6,619.1353331,2133,101,8.49370637,0.426967417,1201.834042,3.292696005,36.33019376,82.82723358,-13.7131324,1.405873908,513.1439763,68.47887513,59.47327772,62.87540366,69.12368138,84.71854144,73.70801938,124.9675457,162.0499731,142.9264801,132.7524758,127.3156889,93.44407966,-104.2758342,-99.91038751,-54.46689989,17.70317546,82.19321851,134.2131324,172.9690527,178.8815931,126.0594726,61.11598493,-7.987082885,-71.06700753,80.14235737,96.99085038,94.86948332,67.41307858,98.59607104,65.01197524,94.00094187,125.1561356,157.7927879,181.6644241,173.4968784,155.949408,155.1185145,137.5765339,118.0192949,63.03503767,52.92868676,1479.750619,5.146474704,8.50737352,11.99195371,15.64599031,18.22497309,19.43210441,17.77400431,15.84017761,12.55648547,8.772308934,4.956781485,4.006862217,11.90923036,0,0,6.943586101,0,10.73089445,59.71310602,0.223080566,0,5.150890902,0.154945836,0,9.610400758,0,5.35396318,0,0.395696442,0,5.35396318,0,6.943586101,10.73089445,0.223080566,0,9.765346593,64.86402652,0,0.395696442,16.72189664,32.07375836,0.073077606,0,0.029302078,1.04069733,0,14.06011366,0,21.20342746,5.847155627,6.039898183,0,0,0,1.243740011,0,0,5.847155627,59.13908128,33.34680045,9.538595868,39.30050909,29.68827325,11.00674836,8.798614811,0,4.886698633,8.8216421,34.41381045,9.454330196,2.185106257,0.051914994,0,0,15.05286213,0,8.798614811,0.032350678,0,14.63541112,0,0,0,10.81220979,7.863236429,68.42840597,10.50692985,2.86447052,0.254304268,1.412085183,1.551329101,0,0,0.278061978,0
10,2587105,SORACHI-GAWA,AKABIRA,2531,43.56,142.05,43.5604,142.0521,0.2,505.3548522,1839,55,8.966257192,0.427614834,1203.147394,3.29629423,44.93599161,93.48793284,-5.272822665,1.409544311,514.4836736,77.08772298,60.53413781,65.74658972,71.38279119,80.12458902,66.47967821,113.3613851,170.2161595,146.6896817,127.7196222,132.4586569,91.34637985,-95.94193774,-92.07869885,-43.79853095,27.69534802,90.69674711,140.5320042,178.6698146,187.4109829,136.849248,70.88037775,1.942987058,-64.13781042,74.51171738,89.64043372,87.95487933,58.11822315,91.37040923,72.783071,96.04309199,128.5219657,156.7182232,183.2531305,172.2837705,148.4788038,153.9704442,135.4613501,125.1088492,73.65613851,60.08978664,1506.368625,5.344071354,8.552710738,12.04211263,15.48527457,18.14578524,19.1598461,17.22574327,15.68436516,12.4081497,9.002658272,5.259881077,4.184679958,11.87901364,0,0,6.933978665,1.123034374,12.13658633,70.419597,1.101856974,0,2.593875938,0.132714342,0,2.287633347,0,2.600750691,0,1.187475306,0,2.600750691,0,6.933978665,12.13658633,1.101856974,0,2.420347689,73.01351245,1.123034374,1.187475306,18.85902805,9.824614777,20.17799289,0.376017384,0.397629395,1.55807981,0,7.083010668,0,22.8486369,2.574634532,10.8905966,0,0,0,6.139944686,0,0,2.950651916,81.41738443,16.36214935,8.020071118,27.41615962,47.74780719,7.95784275,9.588265508,0,5.556775978,5.637455551,21.85938364,6.150809957,2.320387199,1.233306993,0,0,35.61991308,0,9.588265508,0.635954168,0,12.12789411,0,0,0,4.973978665,9.979749032,82.56011766,4.777526314,0.997700356,0.093743698,2.569664046,1.248635875,0,0,0.173702805,0
11,2587106,YUBARI-GAWA,KIYOHORO-BASHI,1116,43.09,141.69,43.0896,141.6896,0.1,377.5722068,1438,11,8.103404252,0.413153162,1332.927088,3.651855036,51.28883685,101.7322404,2.575331772,1.508775456,550.7030414,98.38821233,76.02193599,76.03325527,81.69555035,100.2441062,66.50273224,125.8985168,186.8768931,149.1167057,130.2149102,133.2136612,108.7206089,-85.22482436,-78.26697892,-35.28259173,33.02419984,92.73380172,139.6455894,177.8672912,191.0374707,143.7494145,78.48009368,10.2295082,-53.02576112,85.98360656,102.971897,94.77205308,59.04839969,103.5175644,82.11943794,100.258548,132.8766589,161.7537861,181.4152225,166.4649493,131.7427791,141.5918033,143.8155347,128.1572209,77.16908665,65.34769711,1512.712724,5.552615144,8.636612022,12.10374707,15.56260734,17.87486339,18.63372365,16.19765808,15.01209992,12.68992974,9.058469945,5.337782982,4.295238095,11.75089774,0,0,6.630824373,0.592114695,10.90376344,71.03342294,3.713351254,0,1.79327957,0,0,1.265770609,0,4.267293907,0,0.803763441,0,4.267293907,0,6.630824373,10.90376344,3.713351254,0,1.265770609,72.8266129,0.592114695,0.803763441,6.361021505,0,25.64229391,0,0,3.115860215,0.01218638,11.23198925,0,0,0,27.65430108,0,0,20.91200717,6.073924731,0,0,0,94.9297491,6.073924731,9.193996416,0,74.93055556,16.13799283,0.741129032,0,0,2.899731183,0,7.936738351,13.23826165,1.025537634,0,0,73.34005376,0,0.741129032,0.23172043,0,1.590412186,0,0,0,10.0268647,8.984192742,82.59713683,4.283606541,1.365095341,0.355926971,1.073505287,1.561258513,0,0,0.804742473,0
12,2587200,SHIRIBETSU-GAWA,NAKOMA,1402.2,42.81,140.46,42.8104,140.4604,0.1,436.9259832,1782,8,7.417676356,0.42438755,1342.863296,3.679077523,53.14116875,96.56795798,6.932370322,1.561354696,569.8944642,121.2520026,94.6435325,75.08877216,78.23197636,88.10577807,59.37367039,105.903677,155.9048588,151.6103086,134.5430729,150.4255417,127.7801051,-71.68680236,-68.34143139,-31.15758372,31.28693368,88.22849639,136.9152988,176.3401182,190.1470781,142.6460932,77.96913986,11.8345371,-46.85948785,162.7603414,202.6204859,207.3696651,96.63427446,212.867367,52.77793828,73.42810243,122.2722259,167.9076822,184.4432699,168.8789232,138.3812213,147.7160867,142.6552856,127.3141169,70.44701248,47.89855548,1444.12042,4.908338805,7.810177282,11.74865397,15.92744583,18.10137886,18.81884439,16.59415627,15.3651346,12.73309258,9.117859488,5.224688116,3.965856861,11.69822718,0,0,32.94494366,0,14.39231208,39.54949365,0.891812865,0,6.902439024,0,0,0,0,3.39438026,0,0,0,3.39438026,0,32.94494366,14.39231208,0.891812865,0,0,46.45193268,0,0,0,39.04500071,0,0,0,0,0,10.36849237,0,9.895164741,0,38.76672372,0,0,0,0,0,0,0,59.03038083,39.04500071,9.746398517,62.67700756,10.88610755,14.76601055,0,0,15.95471402,1.321138211,46.72229354,9.746398517,13.44487234,0,0,0,8.215661104,0,0,0,0,2.670446441,0,0,0,2.45278819,13.72630288,76.50567273,11.08316667,0.913552275,0.081594566,1.28935701,0.978998431,0,0,0.601664385,0
13,2587210,MU KAWA,MUKAWA,1228,42.57,141.94,42.5688,141.9354,0.4,400.7110425,1231,5,8.635875923,0.451942696,1216.435244,3.332699299,46.81953291,101.3517339,-8.009907997,1.506189105,549.7590232,56.25612173,44.36687898,67.56985138,85.09023355,103.5915074,70.06220807,135.6635527,196.3822364,157.0511677,115.8392781,113.9772116,70.58499646,-93.72328379,-87.8138712,-39.18683652,29.81740977,90.59660297,137.990092,176.5116773,189.0007077,140.1174805,72.59518754,5.596602972,-60.08987969,62.39136589,73.45859873,69.1656051,42.17975938,73.79193206,88.99731069,104.9568294,133.5080679,160.2680821,179.0472753,161.6598018,128.5932059,141.641472,137.7881104,128.7088464,83.0133758,73.107431,1521.289809,5.757395612,8.829299363,12.15810333,15.53326256,17.80601557,18.4128804,16.06772824,15.05626327,12.46652512,9.124274593,5.54118896,4.504317056,11.77501769,0,0,3.22752443,0,8.278990228,67.04250814,0.291205212,0,1.256921824,0,0,0,0,20.05008143,0,0.123534202,0,20.05008143,0,3.22752443,8.278990228,0.291205212,0,0,68.29942997,0,0.123534202,34.25700326,0,20.4232899,0.21237785,0,2.189250814,0,4.533876221,0,0,0,23.73192182,0.484120521,0,2.6252443,11.81351792,0,0,0.21237785,87.76066775,12.29771987,9.460993485,0,86.4769544,4.326872964,0.005944625,0,0,0.517100977,0,9.460016287,3.809771987,0.000977199,0,0,81.38868078,0,0.005944625,0,0,5.088273616,0,0,0,2.718106026,4.031862622,99.06055008,2.866973208,0.405593811,0.072264739,0.722847068,1.431714821,0,0,0.265259691,0
14,2587220,SARU GAWA,BIRATORI,1253,42.58,142.15,42.5812,142.1438,0.5,609.9967408,1875,38,12.69093767,0.414629412,1314.681608,3.601867419,37.57622378,89.30979021,-15.87342657,1.493440169,545.1056618,59.39797203,45.92048951,71.54923077,95.85111888,111.2328671,81.28573427,149.3978322,208.7034266,166.5986014,126.2325175,125.1047552,73.40706294,-101.306993,-95.46853147,-48.76433566,20.0027972,80.46783217,128.3300699,167.0440559,179.1601399,129.8524476,63.08251748,-4.395804196,-67.66923077,74.42937063,93.05454545,90.28461538,46.2979021,94.31048951,87.19188811,100.748042,122.7566434,155.093007,176.2016783,158.2948252,126.354965,137.8796503,127.6706294,123.6298601,82.19888112,74.98594406,1473.006014,5.83006993,8.841888112,11.92909091,15.5558042,17.97307692,18.54230769,16.2541958,15.17118881,12.23692308,9.135314685,5.648601399,4.652377622,11.81727273,0,0,1.313567438,0,5.362569832,72.36679968,10.37222666,0,0.765682362,0,0,0.534876297,0,9.929289705,0,0,0,9.929289705,0,1.313567438,5.362569832,10.37222666,0,0.534876297,73.13248204,0,0,41.68451716,0,13.10295291,0.566719872,0.885155626,0.298403831,0,5.384596967,0,0,0,11.41260974,14.57494014,0,0,12.73511572,0,0,0.566719872,71.88308061,28.19521149,6.230087789,0,91.3434158,2.274940144,0.796648045,0,0,0,0,6.230087789,2.274940144,0,0,0,88.12617717,0,0.796648045,0,0,3.217238627,0,0,0,1.314231604,3.268803352,100.4872766,3.251198883,0.335651636,0.040000399,0.324750758,1.352696409,0,0,0.002272466,0
