ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
1,0.0,9437.4151265935,23966.590265705,32637.4913144063,105659.855703853,86178.8164667628,68773.8958257027,78023.5869410213,78439.0200494357,120669.972314729,157014.780001316,218234.273135987,170721.377823293,181540.566299546,156730.55077985,121334.299019345,92869.36911176,157453.051765117,150898.477061123,123741.94011459,152973.287791778,1285200.26305247,1031806.06362798,1017826.14785266,1015557.33553981,1016772.27912137,976974.831317216,979941.768092411,923459.392788366,927539.604995018,926948.144604674,925395.616986933,892340.857526736,901558.121712457,917261.321720468,951639.132825454,926103.566117535,480422.055511016,663640.447364625,791526.015907839,809273.258981821,824758.646070443,566163.040624784,564404.971861513,556170.46670153,551780.148932097,546607.668959263,539810.20764605,509954.63420213,566657.487943067,643370.089306843,1086794.92426188,1253645.05026252,1235990.39041345,1060155.23971695,1178596.56769676,1200121.77692007,935447.109532316,950651.320690122,857354.827822768,455871.313402343,606460.455561895,684058.812105663,692868.774023949,711952.599461697,733255.355846848,745083.251829832,575878.062656743,494114.027741437,483370.107285256,484014.543555943,1585102.57137017,1583194.38062442,1564564.2349523,1633067.86074665,1616953.03260997,1677199.14876607,1670894.26905667,1700673.33305065,1716508.8834123,1445678.67840148,1442247.34899946,1434918.38333602,1368541.56817258,1385298.7064376,1381647.2801338,1396517.25433735
2,9437.4151265935,0.0,14535.171374648,23592.4466686647,98288.3812481242,78227.1267719329,60771.8648899189,68880.3849077267,69228.7072865509,112391.107416289,149769.161689948,214229.08837092,162643.231282285,173081.205362731,148679.602818826,112607.166549398,84355.5734934664,148020.239805913,141622.562879728,114428.698977431,143736.125256044,1279937.84103833,1025498.50552519,1011525.13319713,1009402.50353697,1010374.73996621,970436.475208199,973428.093036167,916945.219545737,921147.245938226,920568.041588234,919046.35530722,885923.873811626,894709.203635296,910566.726257358,945293.483283725,919925.305766811,473186.286737365,656455.717660994,784398.45349595,802138.950357624,817613.443932454,558822.716884032,557072.174010966,548863.827273439,544481.655533392,539310.933098934,532466.267699941,502695.321066132,559026.963145615,636243.578614373,1080093.52916755,1248476.65710875,1230940.18119379,1055106.46389182,1173995.83337229,1195908.36668143,929481.495721719,944731.418780449,851118.492274652,449650.520257845,599946.775715371,677634.028224392,686069.161113445,705133.617311501,726490.059335907,738245.37152921,569095.430285892,487608.862354605,476744.513604269,477225.340753917,1581957.71426495,1579963.66490227,1561603.65149075,1630307.11996778,1613770.99355785,1673758.51562154,1667425.16985571,1696993.09886985,1712806.53643088,1441694.06212421,1438213.31415422,1431081.56497787,1364007.21466138,1381056.03948869,1377388.91756527,1392318.63701064
3,23966.590265705,14535.171374648,0.0,11528.9489185943,88206.9240184309,67195.4490834011,49921.6878338874,55230.687680508,55405.4164261391,100428.14049403,139605.944682474,209374.774867386,150905.393450379,160606.561079496,136253.098464603,99137.915404935,71357.6578197367,133534.058787093,127539.685688146,100275.129900889,129426.285320553,1272491.08068787,1016388.97513069,1002427.66131541,1000542.67347942,1001120.35653017,960956.671167363,963988.252379917,907510.909862451,911911.201883713,911352.046874816,909880.807698952,876652.113388099,884729.190218314,900838.051058628,936130.663113697,911037.921003192,462649.282838048,645955.70220309,773972.694741018,791699.664842346,807154.162866238,548084.022168642,546346.550220007,538184.217144849,533816.87947365,528650.508563848,521728.431666729,492108.605713295,547799.451056721,625844.497475437,1070337.2804092,1241182.96150997,1223836.99590506,1048023.57946673,1167615.10152076,1190140.9636352,920937.981804828,936259.970112595,842146.100330685,440817.119390076,590571.234341457,668385.186088798,676201.703134967,695230.533195409,716671.604281816,728305.244848327,559284.10399164,478286.331683389,467226.751468428,467434.963205457,1577844.85530411,1575716.0701399,1557781.31890718,1626793.47159142,1609597.71629726,1669175.16904223,1662797.39459547,1692031.17141834,1707808.90525657,1436267.71539429,1432709.06178611,1425889.5740654,1357715.24164916,1375225.71027223,1371533.99125416,1386557.25027713
4,32637.4913144063,23592.4466686647,11528.9489185943,0.0,76681.2550021289,55746.7467687251,38423.4900052316,45388.8194565591,45842.8460848108,89272.7396953108,128093.519383441,198707.31525268,139692.569803612,149716.930149214,135426.8842023,96652.9197785896,70230.940033674,125755.286366531,118349.819487231,91278.3334814154,124305.621621669,1261098.70250776,1004861.27184078,990900.161391716,989021.559856945,989591.42625596,949429.688405393,952460.570479487,895983.085184606,900382.345466189,899823.292883015,898352.477030463,865123.170609368,873224.494712056,889318.871902211,924602.340503368,899516.049725322,451196.73240696,634501.714429241,762510.610979269,780239.4338243,795696.613908604,536663.771404177,534924.123637175,526754.280797851,522384.548108512,517217.394497113,510307.443027337,480663.728025391,536477.655416327,614377.497305888,1058819.8307117,1229813.49943978,1212498.07065214,1036690.19795287,1156412.92180248,1179078.08967891,909433.275027127,924760.009548936,830621.69578652,429300.834375939,579042.448655864,656856.388058563,664688.5703561,683719.648089473,705156.021854046,716796.940286293,547767.073902293,466757.400522413,455699.279371996,455916.0266553,1567249.96155675,1565077.51274475,1547283.97915565,1616402.43237884,1598982.58803899,1658430.18423272,1652039.02596515,1681174.28033355,1696941.67480533,1425287.15052276,1421708.29665201,1414972.0312562,1346529.24480124,1364144.50931704,1360446.94516832,1375492.59319902
5,105659.855703853,98288.3812481242,88206.9240184309,76681.2550021289,0.0,22011.7823879357,38385.7342056467,46231.5431299768,48140.9352368503,23854.0595067269,51499.9803779941,132691.451911274,66932.5244135805,80684.4711410016,151919.872761893,111784.036447843,101782.498476252,93765.142825814,73854.6960383838,58327.4175898513,114588.78095623,1185739.85980883,928247.601720132,914290.523153897,912503.358114134,912941.335782421,872750.478598203,875784.059532726,819307.400877915,823737.82418275,823183.429091419,821725.5292392,788471.71535905,796609.489077113,812648.153135687,847975.446483796,822989.830478686,374897.913667155,558169.617965139,686122.468661725,703861.036320971,719332.874422138,460555.60872418,458802.266760775,450585.714104749,446201.457823613,441030.271341543,434200.196795763,404408.265864716,461028.386351916,537969.970511221,982153.998686199,1154646.54839722,1137582.60217424,961843.256537125,1082601.30914464,1106352.83557216,833097.118530888,848471.090136265,754062.851614284,352868.631151831,502379.236938243,580216.142978039,588039.488953074,607079.52324555,628497.441833017,640167.487226347,471104.302256932,390110.476492959,379022.076524089,379247.496019934,1497960.90295141,1495465.08870197,1478722.52785474,1548603.66097579,1529535.38445366,1588005.53215592,1581516.06156095,1609910.79459899,1625598.19922008,1353138.4528032,1349406.4049403,1343304.23906813,1272812.37098179,1291237.17175651,1287495.24428531,1302710.44519238
6,86178.8164667628,78227.1267719329,67195.4490834011,55746.7467687251,22011.7823879357,0.0,17455.6967693419,26109.1280565092,28271.1494736123,34976.3079327844,72614.6654060087,153205.566011681,84550.6458132741,96036.7672324202,138047.442342572,96839.7639100678,83066.1493049902,92250.8486013452,76470.7380833996,54328.9703950703,106441.741703194,1207691.76249067,949728.731832231,935778.044083774,934093.499283181,934354.146842283,894047.75254319,897102.994799134,840632.915770313,845165.544132065,844621.019278602,843187.534533823,809884.320281659,817601.002253362,833803.345226294,869436.851287735,844575.062678131,395455.377789157,578761.42859947,706777.255863381,724504.249915406,739959.060997297,480919.668936836,479179.282622006,471007.797318572,466637.85429815,461470.666960718,454563.131942084,424918.703925517,480851.1668598,558649.887477613,1003284.20417272,1176618.41142534,1159573.25554115,983838.965981917,1104609.77548001,1128316.09662397,854810.084146377,870206.64712381,775618.064732947,374555.362218373,523771.222214917,601662.064126388,609121.244447502,628135.420049183,649608.223717724,661195.373043128,492237.578883893,411556.279730652,400360.6262169,400411.936649028,1519594.02260826,1517138.10961818,1500260.46222389,1570038.4315816,1551188.98609736,1609774.23815355,1603295.30690469,1631765.29725658,1647460.36379346,1375065.22203154,1371344.429701,1365191.61774318,1294819.48322795,1313212.88913955,1309473.29491405,1324679.24697003
7,68773.8958257027,60771.8648899189,49921.6878338874,38423.4900052316,38385.7342056467,17455.6967693419,0.0,22859.9030929305,24983.2414973143,52021.6424661077,89690.6092423603,165646.850959513,101950.844889649,113066.217763054,136554.151189067,95044.5406854917,76624.7228759684,102089.055565922,89136.8298992331,64370.7977629314,111033.285283246,1223791.90436405,966629.677498186,952673.24974135,950887.202924008,951312.537759173,911089.978896584,914130.603400098,857655.740947724,862111.717829084,861559.106031876,860105.042242312,826842.513130296,834807.506185393,850930.539854311,886354.928567739,861374.171076017,412796.599129945,596098.942470332,724100.036347422,741830.3949188,757289.931297205,498304.216944449,496561.418485438,488381.104085975,484008.182141352,478840.046631867,471947.229502703,442271.962807808,498297.783048305,575963.378995675,1020425.69423152,1192627.62267111,1175468.26352178,999697.571714699,1120043.43422849,1143337.70486788,871451.422059074,886814.728441294,792448.54259384,391237.548807981,540743.777714922,618592.37949297,626283.983244325,645310.812205027,666757.046470094,678384.147768789,509372.380731587,428485.260641727,417370.14334559,417527.942469731,1533452.37401508,1531101.67304643,1513884.19933875,1583423.26500143,1565099.71250631,1624008.92588018,1617562.73023537,1646284.67115354,1662007.6313828,1389887.14658356,1386221.05904827,1379843.49393214,1310222.34308506,1328308.5099505,1324585.26383754,1339728.98633545
8,78023.5869410213,68880.3849077267,55230.687680508,45388.8194565591,46231.5431299768,26109.1280565092,22859.9030929305,0.0,2276.10192059092,48875.5597447321,92652.2445006779,178774.389193468,98670.6449891941,106556.610820418,114270.839286856,72755.4323839655,57016.8850303062,82592.7469285011,73123.0937665726,46368.8436301581,88537.6763986691,1228769.56409478,968428.576760534,954504.932101218,953219.326402073,952809.885223742,912118.543200619,915245.120905458,858813.968144058,863698.52198423,863189.468840799,861844.748503023,828374.721545597,834752.070577619,851438.612179561,888084.37733892,863703.088706983,411798.841965605,594964.986738535,723054.583464666,740741.546979039,756143.804043894,496662.641701148,494955.634839665,486903.710892312,482574.353645523,477423.899977417,470339.290166484,441096.852700477,495356.389248972,575097.757762348,1020792.92586725,1197902.07254737,1181099.34028048,1005463.26605461,1126987.39176023,1151313.0471387,874485.003006814,889984.361586079,794647.698967373,394372.605198327,542333.580424027,620360.392267944,626641.725281002,645567.409781277,667190.395935328,678525.590622964,510004.947681628,430410.842977403,418870.002693607,418380.791355365,1543870.759848,1541318.19279918,1524740.95776168,1594706.10562764,1575416.6850126,1633683.1864645,1627170.43608726,1655362.56434803,1671024.69140164,1398308.38806247,1394516.74318686,1388647.12513008,1317228.29483578,1336089.10065229,1332326.31721849,1347619.66588152
9,78439.0200494357,69228.7072865509,55405.4164261391,45842.8460848108,48140.9352368503,28271.1494736123,24983.2414973143,2276.10192059092,0.0,49963.3104577401,94028.4202341367,180753.449634443,99486.6803598936,107029.154255109,112017.323456453,70498.9993987567,54814.1595735098,81392.9504877672,72518.4387580875,45571.8291574053,86650.996391987,1230083.18803121,969474.547176246,955554.185995476,954312.692401787,953829.494898199,913097.398693125,916231.59998575,859806.209928327,864728.844346566,864223.677915873,862888.70169312,829401.442825771,835635.135065994,852372.478615103,889126.555194431,864798.877387431,412627.384762269,595760.995506257,723850.916764411,741532.942915979,756929.106106759,497419.903059787,495716.454049464,487677.498601079,483352.723174375,478204.52479435,471102.734728509,441904.61410231,495989.71050364,575920.314779405,1021708.89802244,1199240.75107641,1182467.59799291,1006845.76590839,1128462.32808647,1152868.35226844,875641.704386121,891152.308293919,795734.617603994,395571.496934837,543381.490073215,621418.215896557,627572.895971001,646488.171010382,668125.910084625,679433.897304846,510970.404601949,431500.259840688,419923.624311089,419377.018195671,1545604.78119486,1543037.61324769,1526506.52021916,1596501.30671324,1577143.15887019,1635362.23007159,1628844.5965768,1656996.96977549,1672654.40991709,1399895.02824074,1396093.79648223,1390262.96425685,1318705.50177423,1337626.95246671,1333861.13340718,1349165.9443265
10,120669.972314729,112391.107416289,100428.14049403,89272.7396953108,23854.0595067269,34976.3079327844,52021.6424661077,48875.5597447321,49963.3104577401,0.0,45104.5844784559,140235.146397804,50509.5499941643,61077.8617866554,138397.808898493,100549.743183904,96674.1457759383,71814.9862913005,50633.886064025,39716.1125171427,96387.0305369167,1180367.48772542,919553.072930852,905629.372834352,904356.357548968,903939.735525326,863273.672027022,866393.982700775,809958.751241115,814825.217077409,814315.332933886,812969.364146589,779502.393145674,786045.559617385,802645.34630274,839209.12450468,814841.488886504,363245.674198249,546487.776020515,674568.15963083,692269.091068575,707689.258934617,448323.958381319,446604.662053465,438509.315383931,434165.239305096,429008.045670999,421982.957763308,392600.264000748,447540.464413462,526544.88507305,972024.930852565,1149598.89493146,1132926.16770794,957362.522489818,1079412.97077688,1104334.44009332,825685.019067922,841201.27157239,745781.21693013,345651.241042718,493458.068661609,571485.21853022,577855.571290921,596796.909997958,618397.192360715,629775.164709258,461176.797419093,381545.08609294,369994.467722601,369525.900417347,1498735.4513713,1495997.87289643,1480030.58593902,1550418.71029298,1530182.6728488,1587878.93723347,1581311.88036567,1609081.83835411,1624696.43197015,1351585.8877097,1347709.74554303,1342196.51087413,1269661.67114167,1288959.93157692,1285173.55163929,1300556.97848663
